"","AGE","LocFit","MEAN(of_boot)","0.05","0.95"
"428",8490,-0.0336157816220944,-0.0420460328542219,-0.261794642610401,0.186225963663939
"429",8510,-0.0310113490360541,-0.0399959663450779,-0.260039878676566,0.191948061139136
"430",8530,-0.0286769357156149,-0.03815119683004,-0.268181263315588,0.198212357253945
"431",8550,-0.0266488914544879,-0.0365416140914179,-0.274143688651319,0.209371854997082
"432",8570,-0.0249635660463845,-0.0352004159802329,-0.273572714523443,0.217234137807383
"433",8590,-0.0236573092850159,-0.0341604379770635,-0.274619143097131,0.224768401144732
"434",8610,-0.02276630371999,-0.0333899172787381,-0.284903964164181,0.23016369517951
"435",8630,-0.022276064429815,-0.0328846569156088,-0.292934137439499,0.24012040815087
"436",8650,-0.022066878776082,-0.0325585282940472,-0.29614169587879,0.244650775225161
"437",8670,-0.0220065675327621,-0.0322897640519045,-0.297684452444736,0.246291123297506
"438",8690,-0.0219629514738263,-0.0319565968270317,-0.300790571802273,0.2504858403549
"439",8710,-0.0218038513732457,-0.0314372592572797,-0.308777605944263,0.252473955115811
"440",8730,-0.0213970880049914,-0.0306099839804997,-0.314159238000179,0.256064357910583
"441",8750,-0.0206104821430345,-0.0293530036345427,-0.314046212899131,0.255806270127808
"442",8770,-0.0193118545613461,-0.0275445508572598,-0.314840559462559,0.258960902729488
"443",8790,-0.0173690260338972,-0.025062858286502,-0.313034132587562,0.26337980095878
"444",8810,-0.014649817334659,-0.0217861585601204,-0.309096147270086,0.267602229262802
"445",8830,-0.0110220492376024,-0.017592684315966,-0.302907932569273,0.27065462797486
"446",8850,-0.00635354251669867,-0.0123606681918899,-0.295973492757945,0.275159298384755
"447",8870,-0.00051211794591885,-0.00596847934962259,-0.285930842872076,0.28210810478549
"448",8890,0.00663440370076609,0.0017048355035284,-0.274851808156167,0.287928437320448
"449",8910,0.0152182016493849,0.0107818570591059,-0.254308316991771,0.296173829806264
"450",8930,0.0253714551259667,0.0213891336479464,-0.233100401486859,0.302446967605582
"451",8950,0.0372263433565402,0.0336491465559349,-0.213533086835948,0.307558828266608
"452",8970,0.0509150455671345,0.0476789942149945,-0.192355486220833,0.317471916420236
"453",8990,0.0665798463581135,0.0635367290372993,-0.166084855199873,0.327146450859885
"454",9010,0.0842983714940374,0.0813226304093826,-0.146384895504574,0.339519138920195
"455",9030,0.1039185421006,0.100903922284406,-0.129669453490822,0.360101344050993
"456",9050,0.125265375517217,0.122114558698871,-0.104746923592422,0.383766648147997
"457",9070,0.148163889083305,0.14478849368928,-0.0843428445854379,0.403192763036569
"458",9090,0.17243910013828,0.168759681292135,-0.0671134158175915,0.422347241891952
"459",9110,0.197916026021558,0.193862075543938,-0.0520626353470973,0.446469357814922
"460",9130,0.224419684072556,0.219929630481191,-0.0318974494179259,0.472329136540066
"461",9150,0.25177509163069,0.246796300140395,-0.0140641816340583,0.496186718377319
"462",9170,0.279807266035375,0.274296038558054,0.0109673217161721,0.522083269345672
"463",9190,0.308341224626029,0.302262799770668,0.0266088744831093,0.55452775819835
"464",9210,0.337201984742067,0.33053053781474,0.0460472442079938,0.581459476274792
"465",9230,0.366214563722906,0.358933206726771,0.070515383850187,0.615175000568496
"466",9250,0.395203978907961,0.38730281230976,0.0901823323358515,0.650935266891322
"467",9270,0.42399524763665,0.415470665978542,0.110665118481914,0.683136072287041
"468",9290,0.452413387248387,0.443257815953881,0.134106422701828,0.712457027966397
"469",9310,0.48028341508259,0.470455197775728,0.156607588769427,0.736398237552195
"470",9330,0.507430348478675,0.496896785387669,0.180529148615871,0.763772104835652
"471",9350,0.533679204776057,0.522381716927169,0.204062239488213,0.794320035658441
"472",9370,0.558160351785134,0.545933078875731,0.229936825144143,0.823359466141333
"473",9390,0.57875364275371,0.565808632055588,0.254424374558518,0.840242635924249
"474",9410,0.59546392890137,0.582022497291915,0.281492477870933,0.853961380525343
"475",9430,0.608444934119194,0.594708334106733,0.305322731390547,0.863806366802282
"476",9450,0.617850382298261,0.603999802022058,0.323320895396604,0.863973884292393
"477",9470,0.623833997329652,0.61003056055991,0.338686688638885,0.863100562378694
"478",9490,0.626549503104445,0.612934269242308,0.353468708302058,0.850506871576011
"479",9510,0.62615062351372,0.612844587591269,0.362823013693804,0.838573415672513
"480",9530,0.622791082448556,0.609895175128812,0.364808826383433,0.821842543249288
"481",9550,0.616624603800034,0.604219691376956,0.366345911726114,0.803582396674494
"482",9570,0.607804911459232,0.59595179585772,0.364200452365087,0.784906730048407
"483",9590,0.59648572931723,0.585225148093122,0.35525397162867,0.774855531054806
"484",9610,0.582820781265107,0.57217338825461,0.340300537491617,0.75759773665848
"485",9630,0.566963791193944,0.556930033060803,0.333955081532445,0.747760384256136
"486",9650,0.549068482994819,0.539630099715564,0.314183710501427,0.741250853671048
"487",9670,0.529288580558812,0.520425938656899,0.291271965632872,0.729754780177371
